,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,134194406,116.81258595916913,-1.280041787024757,Lapangan Merdeka III,20054.8,0,1.34,,,,,False,0,5408.21,0.27,5439.56,0.27,1353.36,0.07,0.0,1.0,1.0,7100.0,1.0,5.0,2.0,1.0,7853.66,0.39,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
1,1,134194405,116.81460865315563,-1.2796095461079076,Lapangan Merdeka II,14598.04,0,1.26,,,,,False,0,5183.4,0.36,3985.18,0.27,240.72,0.02,0.0,1.0,1.0,4700.0,1.0,5.0,2.0,1.0,5188.75,0.36,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
2,2,134194404,116.8160187720391,-1.279352416441086,Lapangan Merdeka I,11461.9,1,1.36,,,,,False,0,4175.0,0.36,3875.68,0.34,273.52,0.02,0.0,1.0,1.0,2800.0000000000005,1.0,5.0,2.0,1.0,3137.7,0.27,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
3,4,338720541,116.86837225662735,-1.2260105865675892,NA,5861.95,0,0.93,,,,,False,0,1492.31,0.25,1648.98,0.28,759.65,0.13,0.0,1.0,1.0,1800.0,1.0,5.0,2.0,1.0,1961.0,0.33,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
4,5,338585391,116.8630578034922,-1.2159029348762702,NA,4541.74,0,1.23,,,,,False,0,2255.7,0.5,705.02,0.16,524.04,0.12,0.0,1.0,1.0,950.0,1.0,1.0,2.0,1.0,1056.99,0.23,0.0,0.0,2014-12-17T02:25:26.301Z,7bcad948-1632-42ea-a9a5-1a861bee671a
5,8,338726614,116.86298604150832,-1.2440284919488438,NA,3537.93,0,0.85,,,,,False,0,0.0,0.0,454.05,0.13,519.43,0.15,0.0,1.0,1.0,2300.0,1.0,5.0,2.0,1.0,2564.46,0.72,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
6,9,338585390,116.86256993816808,-1.216048315868003,NA,3203.95,0,1.8,,,,,False,0,0.0,0.0,1325.99,0.41,385.46,0.12,0.0,1.0,1.0,1300.0,1.0,5.0,2.0,1.0,1492.5,0.47,0.0,0.0,2014-12-17T02:25:26.301Z,7bcad948-1632-42ea-a9a5-1a861bee671a
7,12,338726605,116.86243724944563,-1.243478483506079,NA,1861.58,0,0.0,,,,,False,0,0.0,0.0,303.32,0.16,1558.26,0.84,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
8,15,338624290,116.85967280059967,-1.2168135133266793,NA,1440.31,1,1.73,,,,,False,0,0.0,0.0,40.77,0.03,304.09,0.21,0.0,1.0,1.0,990.0,1.0,5.0,2.0,1.0,1095.44,0.76,0.0,0.0,2014-12-17T02:25:26.301Z,7bcad948-1632-42ea-a9a5-1a861bee671a
9,16,338725727,116.86391469381358,-1.2422629529835112,NA,1439.08,0,1.01,,,,,False,0,0.0,0.0,530.72,0.37,741.6,0.52,0.0,1.0,1.0,150.0,1.0,1.0,2.0,1.0,166.77,0.12,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
10,20,338625839,116.86239942954876,-1.2211121519641608,NA,1088.49,0,1.52,,,,,False,0,0.0,0.0,0.0,0.0,825.86,0.76,0.0,1.0,1.0,240.0,1.0,1.0,2.0,1.0,262.63,0.24,0.0,0.0,2014-12-17T02:25:26.301Z,7bcad948-1632-42ea-a9a5-1a861bee671a
11,21,338726613,116.86245267372236,-1.2444009921998773,NA,974.15,1,0.96,,,,,False,0,0.0,0.0,134.02,0.14,675.29,0.69,0.0,1.0,1.0,150.0,1.0,1.0,2.0,1.0,164.85,0.17,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
12,22,338727260,116.86433553333335,-1.2461056333333334,NA,966.6,1,0.97,,,,,False,0,0.0,0.0,223.16,0.23,499.06,0.52,0.0,1.0,1.0,220.0,1.0,1.0,2.0,1.0,244.38,0.25,0.0,0.0,2016-12-10T02:29:04.760Z,556d8017-2032-4524-a7f4-f48ac2faf698
