,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,275535074,95.31394507718933,5.550044545723656,Blang Padang,91213.08,34,1.51,,,,,False,0,6043.14,0.07,68467.81,0.75,10360.17,0.11,0.0,1.0,1.0,5699.999999999999,2.0,5.0,2.0,1.0,6341.96,0.07,0.0,0.0,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
1,1,309573030,95.3379198264875,5.570587185795792,Taman Ratu Safiatuddin,59448.17,47,1.17,,,,,False,0,0.0,0.0,15183.56,0.26,33970.38,0.57,0.0,1.0,1.0,9300.0,3.0,1.0,2.0,1.0,10294.23,0.17,0.0,0.0,2018-02-12T04:28:51.369Z,30f1b57b-a9db-408c-97b7-7b9301771889
2,2,638604254,95.31866306350223,5.543998163376669,NA,31828.18,7,1.32,,,,,False,0,0.0,0.0,12216.91,0.38,13501.07,0.42,0.0,1.0,1.0,5500.0,1.0,5.0,2.0,1.0,6110.2,0.19,0.0,0.0,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
3,3,626371880,95.28839778699293,5.555340597219577,Taman Wisata Meuraxa,30325.88,1,0.0,,0.710802874022311,39.31189061575515,21.413283426672002,1607.4539264338175,88.16,4223.35,0.14,13322.54,0.44,748.22,0.02,88.16492202520828,5.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,12031.77,0.4,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
4,4,341400686,95.31484202234581,5.54443394765445,Taman Budaya Aceh,28670.21,3,1.27,,,,,False,0,0.0,0.0,12655.65,0.44,12174.3,0.42,0.0,1.0,1.0,3500.0,1.0,5.0,2.0,1.0,3840.26,0.13,0.0,0.0,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
5,5,243247273,95.36600032781163,5.570947643096413,Taman gelanggang mahasiswa,26696.52,6,1.67,,,,,False,0,5178.55,0.19,8527.38,0.32,3062.7,0.11,0.0,1.0,1.0,9000.0,1.0,5.0,2.0,1.0,9927.9,0.37,0.0,0.0,2018-02-12T04:28:51.369Z,30f1b57b-a9db-408c-97b7-7b9301771889
6,6,275532868,95.31763086868116,5.5469377402842355,Taman Putroe Phang,24240.18,13,1.47,,0.874988297495874,25.569223360169847,11.438637183210526,497.92927598142273,26.55,0.0,0.0,5714.06,0.24,8653.21,0.36,26.55417406749556,2.0,1.0,5500.0,1.0,1.0,2.0,5.0,6122.95,0.25,3749.96,0.15,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
7,7,306160102,95.317026881138,5.549589303264957,Taman Bustanussalatin,24159.59,9,1.34,,,,,False,0,0.0,0.0,9147.77,0.38,8468.74,0.35,0.0,1.0,1.0,5900.0,1.0,5.0,2.0,1.0,6543.08,0.27,0.0,0.0,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
8,8,624293666,95.28691780648327,5.540867404062043,Taman Krueng Neng,23953.19,9,1.67,,,,,False,0,0.0,0.0,16942.84,0.71,3874.32,0.16,0.0,1.0,1.0,2800.0000000000005,1.0,5.0,2.0,1.0,3136.03,0.13,0.0,0.0,2009-12-15T04:17:40.533Z,23da0dc9-5495-4727-9e47-105d0991d1f1
9,9,385788398,95.28560384283337,5.558743650175546,NA,20024.35,2,1.37,,0.8077218434285017,28.457920417816997,13.920249750363158,2165.465105212765,33.71,0.0,0.0,13049.92,0.65,5485.08,0.27,33.71000356845486,2.0,1.0,1100.0,1.0,5.0,2.0,5.0,1224.62,0.06,264.73,0.01,2018-02-12T04:28:51.369Z,30f1b57b-a9db-408c-97b7-7b9301771889
