,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,564005420,105.27920670887242,-5.379212344172328,PKOR Way Halim,286471.93,23,1.39,,,,,False,0,0.0,0.0,135570.69,0.47,90895.43,0.32,0.0,1.0,1.0,54000.0,2.0,5.0,2.0,1.0,60005.8,0.21,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
1,1,557203561,105.28238505897068,-5.380449206434902,Hutan Kota,147618.53,2,1.83,,,,,False,0,64175.36,0.43,41795.48,0.28,5645.64,0.04,0.0,1.0,1.0,32000.0,1.0,4.0,2.0,1.0,36002.05,0.24,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
2,2,561933233,105.26953567314088,-5.426023441355117,NA,35399.26,3,1.18,,,,,False,0,0.0,0.0,15957.18,0.45,11422.97,0.32,0.0,1.0,1.0,7200.0,1.0,5.0,2.0,1.0,8019.11,0.23,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
3,3,403999536,105.28288878312374,-5.378267678303742,NA,29955.23,1,2.0,,,,,False,0,3617.24,0.12,8712.35,0.29,7556.84,0.25,0.0,1.0,1.0,9100.0,1.0,5.0,2.0,1.0,10068.81,0.34,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
4,4,404823209,105.32519172959768,-5.4828930742817,NA,19856.85,1,1.27,,,,,False,0,6939.45,0.35,8397.36,0.42,0.0,0.0,0.0,1.0,1.0,4100.0,1.0,5.0,2.0,1.0,4520.05,0.23,0.0,0.0,2017-11-04T03:34:03.958Z,de25027c-9530-453b-a55e-d200485ceb97
5,5,403972947,105.25991995630365,-5.418965081213786,Saburai,19451.68,1,1.14,,,,,False,0,0.0,0.0,4046.69,0.21,11451.28,0.59,0.0,1.0,1.0,3600.0,1.0,1.0,2.0,1.0,3953.7,0.2,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
6,6,384283123,105.25909305517726,-5.440301878092914,Lapangan KORPRI,15096.05,1,1.18,,,,,False,0,0.0,0.0,304.34,0.02,13115.76,0.87,0.0,1.0,1.0,1500.0,1.0,1.0,2.0,1.0,1675.95,0.11,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
7,7,557213138,105.25989362607334,-5.421650397511882,Taman Gajah,14258.68,1,0.91,,,,,False,0,2581.96,0.18,5095.79,0.36,5364.89,0.38,0.0,1.0,1.0,1100.0,1.0,1.0,2.0,1.0,1216.04,0.09,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
8,8,403993809,105.29052481964635,-5.384550660295688,NA,14201.88,1,2.18,,,,,False,0,1839.47,0.13,7159.23,0.5,99.31,0.01,0.0,1.0,1.0,4600.0,1.0,5.0,3.0,1.0,5103.87,0.36,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
9,9,559264821,105.26066059171337,-5.429076026276667,NA,12784.19,1,0.78,,,,,False,0,0.0,0.0,3200.22,0.25,8933.08,0.7,0.0,1.0,1.0,590.0,1.0,1.0,2.0,1.0,650.89,0.05,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
10,10,557584189,105.24407214752688,-5.365165260741589,NA,12558.93,0,1.17,,,,,False,0,0.0,0.0,3866.89,0.31,643.35,0.05,0.0,1.0,1.0,7300.0,1.0,5.0,2.0,1.0,8048.68,0.64,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
11,11,404897537,105.26213785820384,-5.4456400031158845,Taman Dwipangga,9713.74,2,0.92,,,,,False,0,0.0,0.0,851.17,0.09,6114.51,0.63,0.0,1.0,1.0,2500.0,1.0,1.0,2.0,1.0,2748.06,0.28,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
12,12,404897541,105.23601898315478,-5.369064783254077,NA,8240.85,2,1.51,,,,,False,0,0.0,0.0,7015.81,0.85,78.48,0.01,0.0,1.0,1.0,1000.0,1.0,5.0,2.0,1.0,1146.55,0.14,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
13,13,403968000,105.26358004627721,-5.405145704407299,Taman,7537.72,1,0.87,,,,,False,0,0.0,0.0,5114.03,0.68,1032.38,0.14,0.0,1.0,1.0,1300.0,1.0,5.0,2.0,1.0,1391.32,0.18,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
14,14,566077268,105.23616225811372,-5.378877575959398,Lapangan Pondok Pesantren,6577.87,0,1.5,,0.6623775976805565,9.984656841934662,5.984557672266218,225.5234314786373,70.52,0.0,0.0,3053.41,0.46,511.73,0.08,70.52208835341365,4.0,1.0,2100.0,1.0,5.0,2.0,3.0,2284.12,0.35,728.62,0.11,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
15,15,403999593,105.29846451214628,-5.365670441346919,NA,6533.8,1,1.37,,,,,False,0,1724.2,0.26,3691.76,0.57,416.61,0.06,0.0,1.0,1.0,630.0,1.0,5.0,2.0,1.0,701.23,0.11,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
16,16,404322903,105.30722756412634,-5.388797560060589,NA,5943.0,2,1.54,,,,,False,0,1812.76,0.31,2115.59,0.36,715.01,0.12,0.0,1.0,1.0,1200.0,1.0,5.0,2.0,1.0,1299.64,0.22,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
17,17,557546551,105.22147903226816,-5.386532063139461,Pramuka Green area,5925.05,0,1.08,,,,,False,0,0.0,0.0,1116.04,0.19,4406.67,0.74,0.0,1.0,1.0,360.0,1.0,1.0,2.0,1.0,402.35,0.07,0.0,0.0,2016-07-23T03:36:48.387Z,10502fde-29ef-401f-8164-1094dd1902df
18,18,557585877,105.26176665009395,-5.397283049621933,NA,4557.11,1,0.77,,,,,False,0,0.0,0.0,561.84,0.12,2551.15,0.56,0.0,1.0,1.0,1300.0,1.0,1.0,2.0,1.0,1444.13,0.32,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
19,19,557584089,105.24059625356388,-5.372538658543554,NA,4554.41,1,1.18,,,,,False,0,0.0,0.0,1695.75,0.37,2433.04,0.53,0.0,1.0,1.0,380.0,1.0,1.0,2.0,1.0,425.61,0.09,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
20,20,538248852,105.25745918008701,-5.451052912049273,taman,2483.78,1,0.94,,,,,False,0,0.0,0.0,164.18,0.07,1773.59,0.71,0.0,1.0,1.0,490.0,1.0,1.0,2.0,1.0,546.01,0.22,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
21,21,557322744,105.25752993016366,-5.408774254459719,Tugu Pahlawan Park,1842.94,3,0.0,,,,,False,0,0.0,0.0,1098.71,0.6,744.23,0.4,0.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
22,23,588255400,105.266348102618,-5.445477268842096,pohon,1513.21,0,0.84,,,,,False,0,0.0,0.0,570.84,0.38,359.41,0.24,0.0,1.0,1.0,530.0,1.0,5.0,2.0,1.0,582.96,0.39,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
23,24,557573840,105.26564489430403,-5.440650832324344,NA,1469.02,0,1.17,,,,,False,0,0.0,0.0,737.85,0.5,725.29,0.49,0.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,5.88,0.0,0.0,0.0,2016-08-06T03:20:55.607Z,59130e7f-5b64-477b-8870-46616bc866b4
24,25,557573836,105.26867042997813,-5.443938315149712,NA,1255.55,0,0.83,,,,,False,0,0.0,0.0,719.3,0.57,440.31,0.35,0.0,1.0,1.0,86.0,1.0,5.0,2.0,1.0,95.94,0.08,0.0,0.0,2018-03-31T03:33:09.766Z,21076d75-efeb-447c-a717-834bf5e9dd95
