,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,576133888,103.93691047018073,1.1313976981443683,NA,1586582.31,21,1.25,,0.7144444097732167,14.575358002915097,6.001278199640657,12433.987979782705,56.16,0.0,0.0,246897.02,0.16,336212.74,0.21,56.15734334848784,3.0,1.0,900000.0,2.0,5.0,2.0,5.0,995752.91,0.63,7719.64,0.0,2018-09-17T03:49:50.892Z,05996c3c-22ac-4779-b693-4e61c6c0e52d
1,4,544982633,103.93098448098978,1.1271103946736538,NA,235088.96,4,1.26,,0.717555675983157,10.348924563619153,4.665195596399781,3026.049348810722,72.65,0.0,0.0,71673.64,0.3,10672.12,0.05,72.6470493854892,4.0,1.0,120000.0,1.0,5.0,2.0,5.0,135133.94,0.57,17609.26,0.07,2018-09-17T03:49:50.892Z,05996c3c-22ac-4779-b693-4e61c6c0e52d
2,5,576134215,103.9486564095476,1.1399443484129514,NA,120168.75,3,1.26,,0.928227611740878,181.45642915100075,92.64904276106836,1295.9763453944706,44.88,4442.25,0.04,19872.19,0.17,31745.24,0.26,44.87996080352768,3.0,1.0,41000.0,1.0,5.0,2.0,5.0,45006.26,0.37,19102.82,0.16,2018-03-20T03:35:14.000Z,106e0192-d656-4c2b-b36f-ad5789dd1074
3,6,576136020,103.94866037476963,1.1005503469388724,NA,111991.08,0,0.89,,0.7798095598372352,172.62847590402123,65.59128792640713,4536.407530072346,16.68,16133.13,0.14,9978.57,0.09,65907.93,0.59,16.684353804272597,1.0,1.0,11000.0,1.0,1.0,2.0,5.0,12688.29,0.11,7283.16,0.07,2018-09-17T03:49:50.892Z,05996c3c-22ac-4779-b693-4e61c6c0e52d
4,7,542871489,104.05551702277545,1.1527152152185174,NA,107923.0,4,0.66,,,,,0.0,0.0,24186.39,0.22,12772.57,0.12,48632.23,0.45,0.0,1.0,1.0,20000.0,1.0,1.0,2.0,1.0,22331.81,0.21,0.0,0.0,2018-01-29T04:06:10.284Z,9829233e-0dd3-4acd-9c3c-f64eb2f9575c
5,10,544983004,103.94526627868535,1.1142253586794237,taman,72371.99,7,1.05,,0.8090894620163347,70.18054394015883,21.18540102241686,1059.8981487021601,58.72,0.0,0.0,10297.54,0.14,23790.5,0.33,58.72268274302939,3.0,1.0,26000.0,1.0,5.0,2.0,5.0,28633.02,0.4,9650.92,0.13,2018-09-17T03:49:50.892Z,05996c3c-22ac-4779-b693-4e61c6c0e52d
6,11,543255920,104.0408133629528,1.1616475284286845,NA,67118.29,5,0.77,,0.9349946211592881,35.380212356317465,15.240962966322181,252.29092667652753,29.54,14447.23,0.22,3768.0,0.06,31717.57,0.47,29.53813104189044,2.0,1.0,14000.000000000002,1.0,1.0,2.0,4.0,15214.71,0.23,1970.78,0.03,2018-03-20T03:35:14.000Z,106e0192-d656-4c2b-b36f-ad5789dd1074
7,12,544982629,103.95091692363721,1.1092018107385402,NA,45436.02,3,1.38,,,,,0.0,0.0,0.0,0.0,10656.07,0.23,9564.73,0.21,0.0,1.0,1.0,23000.0,1.0,5.0,2.0,1.0,25215.23,0.55,0.0,0.0,2015-01-17T03:33:53.008Z,9982e5a9-8954-4704-a5cc-67cdff7b7027
8,13,566675315,104.08164223321697,1.170075576442489,Kebun Raya Batam,35492.37,0,0.88,,,,,0.0,0.0,7750.85,0.22,565.45,0.02,14959.34,0.42,0.0,1.0,1.0,11000.0,1.0,1.0,2.0,1.0,12216.73,0.34,0.0,0.0,2018-03-20T03:35:14.000Z,106e0192-d656-4c2b-b36f-ad5789dd1074
9,14,60754278,104.11830695853457,1.1272719632231067,Hang Nadim Park,34759.97,0,1.75,,,,,0.0,0.0,17847.79,0.51,10418.75,0.3,115.51,0.0,0.0,1.0,1.0,5800.0,1.0,1.0,2.0,1.0,6377.92,0.18,0.0,0.0,2016-06-29T03:41:41.975Z,0f27b357-f058-4ded-a233-75cb92d8411a
10,15,604424929,104.13265722808167,1.0702421714553545,NA,34679.83,0,0.99,,,,,0.0,0.0,0.0,0.0,5484.15,0.16,7197.24,0.21,0.0,1.0,1.0,20000.0,1.0,5.0,2.0,1.0,21998.44,0.63,0.0,0.0,2016-06-29T03:41:41.975Z,0f27b357-f058-4ded-a233-75cb92d8411a
11,17,566680560,104.04984978171981,1.125175584973957,Taman Danau Greenland,26828.57,0,0.73,,0.3338224245397794,78.66139402021169,59.068013822770574,484.37365229191045,82.22,0.0,0.0,6647.25,0.25,3814.18,0.14,82.2159090909091,5.0,1.0,3400.0000000000005,1.0,1.0,2.0,5.0,3715.31,0.14,12651.83,0.47,2018-03-20T03:35:14.000Z,106e0192-d656-4c2b-b36f-ad5789dd1074
12,19,543022133,104.041157543011,1.1098926170959549,Golden Land,23346.33,3,0.86,,,,,0.0,0.0,3338.45,0.14,2290.2,0.1,11409.2,0.49,0.0,1.0,1.0,5699.999999999999,1.0,1.0,2.0,1.0,6308.48,0.27,0.0,0.0,2018-03-20T03:35:14.000Z,106e0192-d656-4c2b-b36f-ad5789dd1074
