,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,374721635,106.03631979873947,-5.996447330891574,NA,52222.26,6,1.83,,,,,False,0,3531.01,0.07,16297.89,0.31,6257.59,0.12,0.0,1.0,1.0,24000.0,1.0,5.0,2.0,1.0,26135.77,0.5,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
1,1,374187828,106.03837312425142,-5.997611492899678,NA,38025.44,3,2.06,,,,,False,0,4540.72,0.12,11307.63,0.3,1176.7,0.03,0.0,1.0,1.0,19000.0,1.0,5.0,3.0,1.0,21000.39,0.55,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
2,2,630326830,106.03988942353377,-6.010072134546588,Alun Alun Cilegon,34585.79,0,1.71,,,,,False,0,14181.3,0.41,15835.43,0.46,133.45,0.0,0.0,1.0,1.0,4000.0,1.0,5.0,2.0,1.0,4435.61,0.13,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
3,3,630326831,106.04128103773634,-6.004837268740994,NA,27395.23,0,2.07,,0.7396303027364616,7.387255513297612,2.6613152128334687,960.3970602663311,87.57,0.0,0.0,6166.54,0.23,2063.19,0.08,87.56820222391049,5.0,1.0,15000.0,1.0,5.0,3.0,5.0,16856.15,0.62,2309.35,0.08,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
4,4,531146130,106.00081423576611,-5.940858897127572,NA,21876.28,10,0.78,,,,,False,0,2572.56,0.12,11505.06,0.53,745.57,0.03,0.0,1.0,1.0,6400.0,1.0,5.0,2.0,1.0,7053.1,0.32,0.0,0.0,2017-03-04T03:55:41.067Z,df89588e-fdd5-4ed1-9d65-c0628d0ad533
5,5,630326832,106.0587287178852,-6.013469851173922,NA,19870.84,0,1.3,,,,,False,0,4264.52,0.21,7270.97,0.37,6237.99,0.31,0.0,1.0,1.0,1900.0,1.0,1.0,2.0,1.0,2097.36,0.11,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
6,6,630326821,106.04236208029056,-6.011305905373528,NA,12071.41,1,1.47,,,,,False,0,0.0,0.0,3993.91,0.33,803.71,0.07,0.0,1.0,1.0,6600.0,1.0,5.0,2.0,1.0,7273.8,0.6,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
7,7,630326822,106.04865348898991,-5.996955338668726,NA,10022.13,0,1.16,,,,,False,0,4572.77,0.46,4208.67,0.42,0.0,0.0,0.0,1.0,1.0,1100.0,1.0,4.0,2.0,1.0,1240.69,0.12,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
8,8,630326824,106.04430223204542,-5.99190271784937,NA,9672.18,0,1.6,,,,,False,0,4245.77,0.44,642.72,0.07,183.38,0.02,0.0,1.0,1.0,4100.0,1.0,4.0,2.0,1.0,4600.31,0.48,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
9,9,630326819,106.04995730176812,-6.033246783950181,NA,8971.63,0,1.04,,,,,False,0,3198.37,0.36,1741.97,0.19,2008.5,0.22,0.0,1.0,1.0,1800.0,1.0,1.0,2.0,1.0,2022.78,0.23,0.0,0.0,2016-08-06T03:21:20.148Z,7c3bd40a-3ac0-42e4-9083-45f5822bf22f
10,10,529604258,105.99124459690192,-6.026294228560662,Taman (RTH),7934.94,2,1.15,,,,,False,0,1878.0,0.24,2393.19,0.3,2159.96,0.27,0.0,1.0,1.0,1400.0000000000002,1.0,1.0,2.0,1.0,1503.79,0.19,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
11,11,630326817,106.0663692821126,-6.035410521030227,NA,6817.95,0,1.59,,,,,False,0,1062.96,0.16,3001.58,0.44,416.76,0.06,0.0,1.0,1.0,2100.0,1.0,5.0,2.0,1.0,2336.65,0.34,0.0,0.0,2016-08-06T03:21:20.148Z,7c3bd40a-3ac0-42e4-9083-45f5822bf22f
12,12,630326820,106.04323376454828,-6.011102757024806,NA,4645.54,0,1.38,,,,,False,0,1051.72,0.23,1323.02,0.28,1645.4,0.35,0.0,1.0,1.0,560.0,1.0,1.0,2.0,1.0,625.39,0.13,0.0,0.0,2015-12-09T03:34:54.763Z,86ec8e2e-93cd-4403-8bc8-1e40097a8b1b
