,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,511972778,106.7729974001655,-6.383706100209729,NA,317575.84,58,1.34,,0.3971079223773051,3.2617179337223945,0.7091259379457278,1562.127745267289,45.46,0.0,0.0,119031.0,0.37,93059.55,0.29,45.457553199488686,3.0,1.0,90000.0,3.0,5.0,2.0,5.0,99265.98,0.31,6219.31,0.02,2016-08-23T03:35:52.977Z,092ec8b1-df11-460a-8830-9de8a356ac83
1,1,155259355,106.89317694005464,-6.371540822565933,Taman Rekreasi Wiladatika,27705.56,6,1.83,,,,,0.0,0.0,1697.4,0.06,5196.42,0.19,7697.85,0.28,0.0,1.0,1.0,12000.0,1.0,5.0,2.0,1.0,13113.89,0.47,0.0,0.0,2016-07-21T03:10:33.333Z,72e9a414-1491-4472-834f-7a9493f66ef5
2,2,511972795,106.80877925560569,-6.395039485603719,NA,26945.23,18,1.29,,0.6564315214827899,8.127523027019357,3.4502950555769587,783.3720696338747,52.17,1194.89,0.04,9478.7,0.35,822.17,0.03,52.17139548349739,3.0,1.0,13000.0,1.0,5.0,2.0,3.0,13958.61,0.52,1490.87,0.06,2018-04-30T03:29:45.059Z,69dee86b-ebfb-47ab-a7f3-0f8cfe5bceda
3,3,555181301,106.76982370415624,-6.383908272779282,Pelataran Gerbang Kubah Mas,24458.67,5,1.34,,,,,0.0,0.0,3987.26,0.16,10576.72,0.43,4305.54,0.18,0.0,1.0,1.0,5000.0,1.0,5.0,2.0,1.0,5589.15,0.23,0.0,0.0,2017-05-20T03:26:20.349Z,8b5aef31-f02d-43bc-9593-d2151ef62851
4,4,261365185,106.84111055926758,-6.431612378095371,NA,24367.88,0,1.07,,,,,0.0,0.0,9107.05,0.37,8193.6,0.34,3822.08,0.16,0.0,1.0,1.0,2900.0,1.0,1.0,2.0,1.0,3245.16,0.13,0.0,0.0,2017-05-20T03:26:04.469Z,3bb74cdc-f6d7-44ff-9118-13cbb50de9e4
5,6,211358927,106.80856425394659,-6.395350011377102,NA,16430.24,7,1.77,,0.8735928592677448,11.187038400457196,5.858834861908583,170.46791190907226,78.7,0.0,0.0,3742.44,0.23,1380.14,0.08,78.69974337040205,4.0,1.0,9700.0,1.0,5.0,2.0,3.0,10712.52,0.65,595.14,0.04,2018-04-30T03:29:45.059Z,69dee86b-ebfb-47ab-a7f3-0f8cfe5bceda
6,7,296613126,106.82817118245285,-6.365214654074488,NA,13461.84,0,1.11,,,,,0.0,0.0,2164.26,0.16,5042.94,0.37,770.45,0.06,0.0,1.0,1.0,4900.0,1.0,5.0,2.0,1.0,5484.19,0.41,0.0,0.0,2018-09-13T03:30:42.179Z,9bdd8c61-7b7d-4a4a-889f-8b4827d862d4
7,8,303720003,106.85777119848096,-6.370344168856801,NA,7825.17,0,1.23,,,,,0.0,0.0,0.0,0.0,1383.46,0.18,1278.98,0.16,0.0,1.0,1.0,4700.0,1.0,5.0,2.0,1.0,5162.74,0.66,0.0,0.0,2016-07-21T03:10:33.333Z,72e9a414-1491-4472-834f-7a9493f66ef5
8,9,555899628,106.82680548230147,-6.36348085585309,NA,7487.49,1,1.14,,,,,0.0,0.0,0.0,0.0,412.31,0.06,1126.07,0.15,0.0,1.0,1.0,5400.0,1.0,5.0,2.0,1.0,5949.11,0.79,0.0,0.0,2018-09-13T03:30:42.179Z,9bdd8c61-7b7d-4a4a-889f-8b4827d862d4
9,10,296613125,106.82966634776967,-6.364464363869953,NA,7041.1,0,1.15,,,,,0.0,0.0,2187.19,0.31,1745.61,0.25,455.38,0.06,0.0,1.0,1.0,2400.0,1.0,5.0,2.0,1.0,2652.92,0.38,0.0,0.0,2018-09-13T03:30:42.179Z,9bdd8c61-7b7d-4a4a-889f-8b4827d862d4
