,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,638606970,101.43842047142364,1.6348166943089182,NA,1321416.77,0,2.06,,0.7960616756311678,19.968511187473574,6.803783667430563,39145.118459325546,86.57,145290.86,0.11,335154.19,0.25,0.0,0.0,86.5711049438469,5.0,1.0,740000.0,1.0,5.0,3.0,5.0,815522.1,0.62,25449.62,0.02,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
1,1,638606971,101.44188633537372,1.623418242348473,NA,309569.4,0,2.0,,0.7882278608135268,19.61149066735787,5.794555748242353,12299.083451878643,29.62,223727.18,0.72,28135.76,0.09,477.31,0.0,29.620029015190305,2.0,1.0,46000.0,1.0,1.0,2.0,5.0,50936.64,0.16,6292.5,0.02,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
2,2,638606974,101.44668655549324,1.6605114238409766,TAMAN BUKIT GELANGGANG,136423.84,30,1.41,,,,,0.0,0.0,0.0,0.0,35192.23,0.26,29273.33,0.21,0.0,1.0,1.0,65000.0,2.0,5.0,2.0,1.0,71958.28,0.53,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
3,3,625304374,101.45138353677476,1.6585345731075283,kebun warga,5726.68,0,1.7,,,,,0.0,0.0,255.33,0.04,924.15,0.16,0.0,0.0,0.0,1.0,1.0,4100.0,1.0,5.0,2.0,1.0,4547.2,0.79,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
4,4,629062525,101.47437451140802,1.6670522161649044,kebun sawit warga,2967.08,0,1.45,,,,,0.0,0.0,0.0,0.0,428.77,0.14,2350.35,0.79,0.0,1.0,1.0,170.0,1.0,1.0,2.0,1.0,187.96,0.06,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
5,5,629054957,101.47624843883001,1.6665899779264657,kebun kelapa sawit,2190.07,0,1.8,,,,,0.0,0.0,0.0,0.0,371.55,0.17,636.65,0.29,0.0,1.0,1.0,1100.0,1.0,5.0,2.0,1.0,1181.87,0.54,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
6,6,625303870,101.45395081579723,1.6589676656460455,kebun warga,2183.81,0,1.28,,,,,0.0,0.0,469.43,0.21,457.26,0.21,381.22,0.17,0.0,1.0,1.0,790.0,1.0,5.0,2.0,1.0,875.9,0.4,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
7,7,539026032,101.4451675081056,1.6736728946676105,lembaga IKPS DUMAI,1535.0,2,1.18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1161.06,0.76,0.0,1.0,1.0,340.0,1.0,1.0,2.0,1.0,373.94,0.24,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
8,8,629062798,101.47501765771923,1.6666016057526014,kebun sawit warga,963.18,0,1.74,,,,,0.0,0.0,43.05,0.04,217.73,0.23,25.86,0.03,0.0,1.0,1.0,610.0,1.0,5.0,2.0,1.0,676.55,0.7,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
9,9,545694346,101.40930976012733,1.6911991662817158,NA,892.2,1,1.1,,,,,0.0,0.0,0.0,0.0,24.78,0.03,288.39,0.32,0.0,1.0,1.0,520.0,1.0,5.0,2.0,1.0,579.03,0.65,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
10,10,545694345,101.40972037858728,1.6913794451202404,NA,714.18,1,1.07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,389.75,0.55,0.0,1.0,1.0,290.0,1.0,1.0,2.0,1.0,324.43,0.45,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
11,11,545694348,101.40982409504996,1.6909752850108224,NA,605.91,1,1.24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,394.96,0.65,0.0,1.0,1.0,190.0,1.0,1.0,2.0,1.0,210.95,0.35,0.0,0.0,2018-08-11T03:58:59.617Z,28f71b3a-54a1-4989-91e0-e4fb03cb2e4d
