,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,221344718,106.82794584036527,-6.354819876940516,buper WILADATIKACibubur,969735.89,39,1.4,,0.7900435858869443,10.331493879527505,4.140550474075889,17717.93135341476,68.63,2410.92,0.0,87002.94,0.09,15323.38,0.02,68.6332208625524,4.0,1.0,690000.0,2.0,5.0,2.0,5.0,767263.61,0.79,97735.04,0.1,2018-04-30T03:29:45.059Z,69dee86b-ebfb-47ab-a7f3-0f8cfe5bceda
1,1,401974209,106.82756959407554,-6.354952097194993,NA,812106.09,15,1.35,,0.7953288246829741,113.63524762012334,45.18112746321857,5562.977221192903,53.67,0.0,0.0,31928.32,0.04,38184.27,0.05,53.670212765957444,3.0,1.0,670000.0,1.0,5.0,2.0,5.0,741504.28,0.91,489.21,0.0,2018-04-30T03:29:45.059Z,69dee86b-ebfb-47ab-a7f3-0f8cfe5bceda
2,2,628537709,106.82676416501195,-6.175931937329525,Monas Park,692393.99,481,0.99,,0.7955203109184596,13.920241494080782,3.5410795756600635,4258.068345994616,45.64,6845.58,0.01,135915.17,0.2,181646.33,0.26,45.642009574725705,3.0,1.0,330000.0,5.0,5.0,2.0,5.0,361631.93,0.52,6354.98,0.01,2015-04-12T03:17:15.712Z,61969053-197d-40d7-9bc0-8dad1f75bde6
3,3,155948408,106.90025058167015,-6.3428844107410995,Agrowisata,175298.34,22,1.6,,0.7236269879763829,23.183725091771358,8.686200882513043,2798.822257031854,63.29,9464.64,0.05,31060.07,0.18,23485.36,0.13,63.2887189292543,4.0,1.0,73000.0,2.0,5.0,2.0,5.0,81023.17,0.46,30265.1,0.17,2016-07-21T03:10:33.333Z,72e9a414-1491-4472-834f-7a9493f66ef5
4,4,492694149,106.76440108438413,-6.130072622018431,NA,169463.09,4,1.32,,,,,0.0,0.0,12392.05,0.07,138321.66,0.82,667.26,0.0,0.0,1.0,1.0,16000.0,1.0,5.0,2.0,1.0,18082.12,0.11,0.0,0.0,2015-08-25T03:15:18.411Z,28704d91-5fbb-492f-8a5f-89d149dac0ca
5,7,30952645,106.7645014263453,-6.210681833054299,Srengseng Park,130664.46,27,0.94,,0.6962092255540713,31.45627050652816,10.573534431583292,2846.4948367726543,59.38,0.0,0.0,16769.91,0.13,15387.23,0.12,59.375517641212525,3.0,1.0,79000.0,2.0,5.0,2.0,5.0,87235.45,0.67,11271.87,0.09,2015-08-25T03:15:18.411Z,28704d91-5fbb-492f-8a5f-89d149dac0ca
6,9,157363151,106.7778658458533,-6.313680666760786,Taman dan Hutan Kota Sangga Buana,112122.85,11,1.56,,0.7633443347284551,13.335642693218693,5.095591110220966,2435.280160395857,75.71,6181.55,0.06,20027.2,0.18,1988.47,0.02,75.71070090405968,4.0,1.0,74000.0,1.0,5.0,2.0,3.0,82353.43,0.73,1572.2,0.01,2016-08-23T03:35:52.977Z,092ec8b1-df11-460a-8830-9de8a356ac83
7,10,158667991,106.91064197696856,-6.291159433120454,NA,108214.25,14,1.46,,0.7482817355941895,29.56916754879975,15.803481867679793,3682.9274344841824,67.0,3310.36,0.03,25264.81,0.23,6045.32,0.06,67.00095816033216,4.0,1.0,56999.99999999999,1.0,5.0,2.0,5.0,62978.95,0.58,10614.81,0.1,2016-07-21T03:10:33.333Z,72e9a414-1491-4472-834f-7a9493f66ef5
8,11,228762668,106.80425096027375,-6.211626068511437,NA,105780.51,30,1.16,,0.752943497788363,13.684290992258326,4.584491876720924,4381.018179220911,42.92,7334.74,0.07,12028.71,0.11,16971.76,0.16,42.92236322132496,3.0,1.0,31000.0,2.0,1.0,2.0,5.0,34104.77,0.32,35340.53,0.33,2016-08-23T03:35:52.977Z,092ec8b1-df11-460a-8830-9de8a356ac83
9,12,29564171,106.91132644417067,-6.201926628905015,NA,100985.37,85,1.1,,0.6871378634412076,14.510660331739867,5.940226764769188,1170.9278839622143,58.53,1797.33,0.02,24288.14,0.24,13850.23,0.14,58.52744746701417,3.0,1.0,45000.0,5.0,5.0,2.0,5.0,50183.83,0.5,10865.84,0.11,2016-07-21T03:10:33.333Z,72e9a414-1491-4472-834f-7a9493f66ef5
10,13,155256799,106.84863761333943,-6.151265911425037,NA,94810.24,2,1.33,,,,,0.0,0.0,1024.28,0.01,34013.08,0.36,13544.82,0.14,0.0,1.0,1.0,42000.0,1.0,5.0,2.0,1.0,46228.07,0.49,0.0,0.0,2011-09-11T03:33:53.688Z,719a6e0f-626a-4433-8443-732cc3d1c546
11,14,157362115,106.82009871069465,-6.296284623080862,Bumi Perkemahan Ragunan,80626.64,6,1.61,,,,,0.0,0.0,9617.15,0.12,25700.8,0.32,4890.35,0.06,0.0,1.0,1.0,36000.0,1.0,5.0,2.0,1.0,40418.34,0.5,0.0,0.0,2016-08-23T03:35:52.977Z,092ec8b1-df11-460a-8830-9de8a356ac83
