,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,1,221951851,119.45462687043138,-5.177684873688069,NA,123779.72,2,1.01,,,,,False,0,52159.06,0.42,52252.64,0.42,4037.6,0.03,0.0,1.0,1.0,14000.000000000002,1.0,4.0,2.0,1.0,15330.41,0.12,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
1,2,194060135,119.38833065012976,-5.1710756771393935,Pantai Akkarena,110434.45,4,1.14,,0.747980111115465,54.83780951835229,18.616954116843225,2280.907278377913,63.56,25198.86,0.23,24436.6,0.22,17864.33,0.16,63.56,4.0,1.0,24000.0,1.0,1.0,2.0,5.0,26235.88,0.24,16698.78,0.15,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
2,3,221951850,119.4577096392785,-5.178342036564667,NA,68598.6,5,1.03,,,,,False,0,19757.1,0.29,27858.4,0.41,6593.05,0.1,0.0,1.0,1.0,13000.0,1.0,5.0,2.0,1.0,14390.05,0.21,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
3,4,221951844,119.46190406872357,-5.173932530341602,NA,35763.57,0,1.01,,,,,False,0,11683.82,0.33,20664.28,0.58,0.0,0.0,0.0,1.0,1.0,3100.0,1.0,5.0,2.0,1.0,3415.47,0.1,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
4,5,316936460,119.38992650311776,-5.207386028317513,NA,30795.3,0,1.01,,,,,False,0,13018.65,0.42,7079.84,0.23,9028.82,0.29,0.0,1.0,1.0,1500.0,1.0,1.0,2.0,1.0,1667.99,0.05,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
5,6,195041615,119.41237949999999,-5.135176200000001,Lapangan Karebosi,30155.15,0,1.31,,,,,False,0,16947.34,0.56,4405.66,0.15,0.0,0.0,0.0,1.0,1.0,7900.0,1.0,1.0,2.0,1.0,8802.14,0.29,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
6,8,278457557,119.49056611793573,-5.1538125193822,NA,28694.24,0,1.75,,,,,False,0,3673.67,0.13,3480.09,0.12,0.0,0.0,0.0,1.0,1.0,19000.0,1.0,5.0,2.0,1.0,21540.47,0.75,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
7,10,221954382,119.46082324724212,-5.190216249627936,NA,19859.2,0,1.08,,,,,False,0,5146.86,0.26,10115.01,0.51,2752.14,0.14,0.0,1.0,1.0,1700.0000000000002,1.0,5.0,2.0,1.0,1845.19,0.09,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
8,12,286362340,119.42884529731766,-5.137396694833507,RTH,15020.28,0,1.36,,,,,False,0,4709.42,0.31,5715.14,0.38,0.0,0.0,0.0,1.0,1.0,4100.0,1.0,5.0,2.0,1.0,4595.73,0.31,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
9,13,279085861,119.49441490643878,-5.153411092749398,NA,13693.63,0,1.52,,,,,False,0,8367.35,0.61,552.52,0.04,0.0,0.0,0.0,1.0,1.0,4300.0,1.0,1.0,2.0,1.0,4773.77,0.35,0.0,0.0,2018-08-24T02:25:42.445Z,57cd4b1a-5145-42ef-acf5-ef23eb444b45
