,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,28896327,98.67871818103434,3.59050295469627,Lapangan Merdeka,39173.8,21,1.05,,,,,False,0,9495.12,0.24,8468.24,0.22,8496.37,0.22,0.0,1.0,1.0,11000.0,2.0,4.0,2.0,1.0,12714.08,0.32,0.0,0.0,2016-07-07T04:08:57.231Z,c61e5ae3-2217-472d-be43-8f4ffdccdefd
1,1,60828387,98.68393147523979,3.5752637790137447,Istana Maimun,38986.22,16,1.41,,,,,False,0,0.0,0.0,14925.44,0.38,15715.94,0.4,0.0,1.0,1.0,7500.0,1.0,5.0,2.0,1.0,8344.84,0.21,0.0,0.0,2017-09-23T04:18:37.069Z,8e3731c1-6972-4b6d-a060-438b1191c32c
2,2,28896328,98.67352376341177,3.5883006322289743,Lapangan Benteng,22534.9,1,1.99,,,,,False,0,0.0,0.0,14145.76,0.63,2685.34,0.12,0.0,1.0,1.0,5100.0,1.0,5.0,2.0,1.0,5703.8,0.25,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
3,3,265390915,98.69416568181742,3.5649636657406485,Taman Teladan,18202.92,9,1.82,,,,,False,0,0.0,0.0,4410.6,0.24,5032.5,0.28,0.0,1.0,1.0,7900.0,1.0,5.0,2.0,1.0,8759.82,0.48,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
4,5,427989426,98.6694521244849,3.576339422211607,Berinbing Park,15416.61,6,1.76,,0.8669990671774914,14.025174336518551,6.748316009631499,484.6715179042349,81.69,1850.42,0.12,3146.99,0.2,318.87,0.02,81.68635359646595,5.0,1.0,8700.0,1.0,5.0,2.0,5.0,9633.74,0.62,466.59,0.03,2011-01-12T04:16:44.764Z,2baa2935-e268-4b53-ac19-89931e307e64
5,6,316746852,98.65886612233035,3.5842001230080722,Gajah Mada Park,15161.85,0,1.73,,,,,False,0,6163.75,0.41,2996.27,0.2,368.27,0.02,0.0,1.0,1.0,5100.0,1.0,4.0,2.0,1.0,5633.56,0.37,0.0,0.0,2011-01-12T04:16:44.764Z,2baa2935-e268-4b53-ac19-89931e307e64
6,7,267277057,98.67408495000002,3.5409440000000028,Taman Asrama Haji,6750.99,0,2.06,,,,,False,0,398.03,0.06,4595.35,0.68,671.03,0.1,0.0,1.0,1.0,980.0,1.0,5.0,3.0,1.0,1086.58,0.16,0.0,0.0,2011-01-12T04:16:44.764Z,2baa2935-e268-4b53-ac19-89931e307e64
7,9,250146937,98.62829835729696,3.568562235333261,NA,1984.0,0,1.8,,,,,False,0,0.0,0.0,970.13,0.49,445.31,0.22,0.0,1.0,1.0,510.0,1.0,5.0,2.0,1.0,568.56,0.29,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
8,10,242781995,98.63381927350041,3.564378656629967,NA,1864.42,0,1.38,,,,,False,0,0.0,0.0,781.04,0.42,88.18,0.05,0.0,1.0,1.0,900.0,1.0,5.0,2.0,1.0,995.2,0.53,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
9,12,427989438,98.66932550711918,3.5861252058023148,Taman Tjong Yong Hian,1693.45,1,1.85,,,,,False,0,459.77,0.27,740.77,0.44,0.0,0.0,0.0,1.0,1.0,440.0,1.0,5.0,2.0,1.0,492.91,0.29,0.0,0.0,2011-01-12T04:16:44.764Z,2baa2935-e268-4b53-ac19-89931e307e64
10,13,326373072,98.69082343333334,3.5984389,NA,1557.49,1,1.31,,,,,False,0,0.0,0.0,603.13,0.39,19.2,0.01,0.0,1.0,1.0,840.0,1.0,5.0,2.0,1.0,935.16,0.6,0.0,0.0,2011-01-12T04:16:44.764Z,2baa2935-e268-4b53-ac19-89931e307e64
11,14,251879615,98.63409396864867,3.5687065607145683,NA,1352.89,0,1.43,,,,,False,0,0.0,0.0,564.99,0.42,222.92,0.16,0.0,1.0,1.0,510.0,1.0,5.0,2.0,1.0,564.99,0.42,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
12,15,247256415,98.63241665686563,3.563849765530025,NA,1161.49,0,2.21,,,,,False,0,0.0,0.0,713.83,0.61,80.66,0.07,0.0,1.0,1.0,330.0,1.0,5.0,3.0,1.0,367.0,0.32,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
13,16,247262444,98.64035473290345,3.5693785501062933,NA,1141.37,0,1.84,,,,,False,0,0.0,0.0,540.25,0.47,232.08,0.2,0.0,1.0,1.0,330.0,1.0,5.0,2.0,1.0,369.04,0.32,0.0,0.0,2011-01-12T04:16:44.765Z,2baa2935-e268-4b53-ac19-89931e307e64
