Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
;id;OSM_id;X_wgs;Y_wgs;name;area;amenities;meanLAI;wArea;wEccentricity;wMaj_Axis_Length;wMin_Axis_Length;wPerimeter;RepPer_vegcover;Bare_area_m2;Bare_pct;Grass_area_m2;Grass_pct;Impermeable_area_m2;Impermeable_pct;Infil;Infil_Rip;Infil_Storm;Monetary;Soc_Amen;Soc_Grey;Temp_LAI;Temp_Water;Trees_area_m2;Trees_pct;Water_area_m2;Water_pct;image_date;image_id
0;0;555599205;109.6920875065162;-6.858551884048266;PPNP BEAUTIFULLY SEA;71449.71;3;0.41;;0.5652189859728556;148.04824646447997;112.26403808990358;2777.8639082978143;12.5;5617.38;0.08;2049.4;0.03;29494.73;0.41;12.4957497449847;1.0;1.0;7900.0;1.0;1.0;2.0;5.0;8723.79;0.12;25564.41;0.36;2018-06-07T03:26:01.156Z;7f080cdf-eb60-40c1-9de9-f665370f0625
1;3;637652458;109.68285132538958;-6.8889838466271005;NA;23569.98;0;0.81;;;;;0.0;0.0;11663.48;0.49;1862.9;0.08;1107.69;0.05;0.0;1.0;1.0;8100.000000000001;1.0;1.0;2.0;1.0;8935.91;0.38;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
2;4;483418465;109.6791258645217;-6.886923667880764;Lapangan Sorogenen;20933.46;0;0.84;;;;;0.0;0.0;16152.59;0.77;1764.26;0.08;0.0;0.0;0.0;1.0;1.0;2700.0;1.0;1.0;2.0;1.0;3016.61;0.14;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
3;5;304512641;109.66345986252988;-6.897121398216796;Lapangan Mataram;20335.71;0;0.92;;;;;0.0;0.0;11372.97;0.56;1182.2;0.06;2414.81;0.12;0.0;1.0;1.0;4800.0;1.0;1.0;2.0;1.0;5365.73;0.26;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
4;6;503475575;109.67629938550118;-6.890717607385821;Alun-Alun Pekalongan;14201.17;1;0.79;;;;;0.0;0.0;7412.13;0.52;0.0;0.0;4696.52;0.33;0.0;1.0;1.0;1900.0;1.0;1.0;2.0;1.0;2092.51;0.15;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
5;7;637652460;109.65937448071143;-6.9075951641682165;NA;12368.52;0;1.17;;;;;0.0;0.0;3192.14;0.26;4703.25;0.38;562.45;0.05;0.0;1.0;1.0;3500.0;1.0;5.0;2.0;1.0;3910.68;0.32;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
6;8;483418467;109.67475838452806;-6.8785801995430145;Lapangan Jetayu;8094.46;1;0.75;;;;;0.0;0.0;2975.43;0.37;22.85;0.0;2404.11;0.3;0.0;1.0;1.0;2400.0;1.0;1.0;2.0;1.0;2692.06;0.33;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
7;9;483418464;109.6682277358141;-6.887752509618601;Taman Monumen Pekalongan;6474.53;1;0.81;;;;;0.0;0.0;2107.88;0.33;713.3;0.11;681.29;0.11;0.0;1.0;1.0;2700.0;1.0;4.0;2.0;1.0;2972.07;0.46;0.0;0.0;2015-10-13T03:11:08.511Z;1edcfcb6-3c8a-419c-9dca-da71d572acf5
8;10;555596976;109.70048481505488;-6.906407677664187;DUPAN PARK;4830.89;0;0.73;;0.8357377278163165;17.362180165134397;9.412627390536745;216.70688804063502;20.33;0.0;0.0;0.0;0.0;3194.1;0.66;20.327552986512526;2.0;1.0;760.0;1.0;1.0;2.0;2.0;845.5;0.18;791.3;0.16;2015-09-24T03:09:59.484Z;5c28443c-3ebd-4fe9-aefa-781f299fe164
