,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,312948507,101.44475727026887,0.552417727937801,NA,1868736.71,1,2.06,,,,,False,0,0.0,0.0,883055.45,0.47,188135.41,0.1,0.0,1.0,1.0,720000.0,1.0,5.0,3.0,1.0,797545.86,0.43,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
1,2,242815283,101.49981134686614,0.4930670678166771,Alam Mayang,243233.55,13,1.45,,0.7184008441878181,27.146750329937657,11.821408787251544,6305.926324868632,45.4,33954.54,0.14,29287.2,0.12,37083.15,0.15,45.40492369388437,3.0,1.0,99000.0,1.0,5.0,2.0,5.0,109654.47,0.45,33254.19,0.14,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
2,3,374253902,101.37926176096416,0.4675581233408146,Taman Universitas Riau,69682.28,1,2.08,,0.32096459189085585,16.955650246466174,14.641783438619845,412.6183131815652,89.97,14054.29,0.2,10035.9,0.14,609.3,0.01,89.97338065661047,5.0,1.0,38000.0,1.0,5.0,3.0,5.0,41573.7,0.6,3409.08,0.05,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
3,4,314260961,101.45427732153257,0.5148769247628808,Hutan Kota,64710.08,3,1.5,,,,,False,0,469.21,0.01,3447.67,0.05,1800.34,0.03,0.0,1.0,1.0,53000.0,1.0,5.0,2.0,1.0,58992.86,0.91,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
4,5,482423952,101.51825549426017,0.48602109425656737,Seroja Park,54672.53,1,1.54,,,,,False,0,8093.61,0.15,14163.81,0.26,2567.38,0.05,0.0,1.0,1.0,27000.0,1.0,5.0,2.0,1.0,29847.72,0.55,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
5,6,207536498,101.42829541776489,0.569914423866238,Taman Olah Raga Chevron,39269.35,12,1.64,,,,,False,0,8601.38,0.22,11202.5,0.29,13788.47,0.35,0.0,1.0,1.0,5100.0,1.0,1.0,2.0,1.0,5677.01,0.14,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
6,8,421593990,101.39642285438099,0.43290681329869857,Rumah Potong Hewan,28945.99,1,1.09,,,,,False,0,0.0,0.0,13731.54,0.47,8729.87,0.3,0.0,1.0,1.0,5800.0,1.0,5.0,2.0,1.0,6484.57,0.22,0.0,0.0,2017-02-08T03:53:32.350Z,8e27c1ab-1dff-46b3-8412-e1cca82afbcb
7,9,207536500,101.43503944376059,0.5863615068876592,Boy & Girl Scouts,23031.68,0,1.89,,,,,False,0,4302.45,0.19,3886.6,0.17,0.0,0.0,0.0,1.0,1.0,13000.0,1.0,5.0,2.0,1.0,14842.64,0.64,0.0,0.0,2018-01-21T04:06:52.294Z,99c9e796-c883-4f64-8a7b-fe993954dc82
8,10,556156516,101.44242108712237,0.5355362356252016,Taman RTH Tunjuk Ajar Senapelan,17215.88,2,0.98,,,,,False,0,0.0,0.0,4959.03,0.29,8413.86,0.49,0.0,1.0,1.0,3500.0,1.0,4.0,2.0,1.0,3842.99,0.22,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
9,11,317258698,101.44827801049485,0.5135458702178075,RTH Kacang Mayang,13869.57,2,1.04,,,,,False,0,0.0,0.0,0.0,0.0,9436.87,0.68,0.0,1.0,1.0,4000.0,1.0,1.0,2.0,1.0,4432.7,0.32,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
10,12,593460419,101.45132406032232,0.514092450565227,Taman Kota PEkanbaru,12749.63,1,1.25,,0.6189125196294453,24.61442499383133,9.062253162454747,349.7207964113501,91.33,0.0,0.0,1168.34,0.09,448.65,0.04,91.32561451303324,5.0,1.0,6400.0,1.0,5.0,2.0,5.0,7127.47,0.56,4005.18,0.31,2013-05-10T04:19:28.940Z,2f9d21b2-9458-4c21-8194-f88381661369
11,13,546086090,101.41627767795157,0.4473688219325319,taman rekreasi,11437.94,0,1.2,,,,,False,0,0.0,0.0,0.0,0.0,6979.89,0.61,0.0,1.0,1.0,4000.0,1.0,1.0,2.0,1.0,4458.05,0.39,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
12,14,546311214,101.43939874318441,0.5405063867010085,NA,5636.34,1,0.89,,,,,False,0,0.0,0.0,1885.06,0.33,3427.74,0.61,0.0,1.0,1.0,290.0,1.0,1.0,2.0,1.0,323.54,0.06,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
13,15,484535582,101.3862205781781,0.46305580137674984,perkebunan pisang,4433.37,1,1.04,,,,,False,0,0.0,0.0,632.74,0.14,360.37,0.08,0.0,1.0,1.0,3100.0,1.0,5.0,2.0,1.0,3440.26,0.78,0.0,0.0,2017-02-08T03:53:32.350Z,8e27c1ab-1dff-46b3-8412-e1cca82afbcb
14,16,485843510,101.40772947448008,0.44908319076688025,Sante Park,4107.23,1,1.87,,,,,False,0,297.83,0.07,1231.52,0.3,9.35,0.0,0.0,1.0,1.0,2300.0,1.0,5.0,2.0,1.0,2568.54,0.63,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
15,17,485635241,101.43366353770166,0.4440793894962437,Taman Cinta,3574.3,1,0.87,,,,,False,0,505.22,0.14,241.9,0.07,1896.2,0.53,0.0,1.0,1.0,840.0,1.0,1.0,2.0,1.0,930.99,0.26,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
16,18,556685833,101.44770523047423,0.5134142543133963,Taman Tugu Selais,3417.57,2,1.16,,,,,False,0,0.0,0.0,779.59,0.23,1437.99,0.42,0.0,1.0,1.0,1100.0,1.0,5.0,2.0,1.0,1200.0,0.35,0.0,0.0,2013-05-10T04:19:28.940Z,2f9d21b2-9458-4c21-8194-f88381661369
17,20,485870477,101.41759342310382,0.4524681543180058,Taman Damai Langgeng,3000.38,1,1.0,,,,,False,0,276.88,0.09,1598.37,0.53,0.0,0.0,0.0,1.0,1.0,1000.0,1.0,5.0,2.0,1.0,1125.12,0.37,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
18,21,546088003,101.4163579,0.4502318,hutan,2343.88,1,1.55,,,,,False,0,0.0,0.0,46.05,0.02,0.0,0.0,0.0,1.0,1.0,2100.0,1.0,5.0,2.0,1.0,2297.83,0.98,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
19,22,312245060,101.44634902152424,0.5709186066474612,Bundaran Chevron Pacific Indonesia,2181.81,2,1.88,,,,,False,0,402.8,0.18,671.33,0.31,129.47,0.06,0.0,1.0,1.0,880.0,1.0,5.0,2.0,1.0,978.22,0.45,0.0,0.0,2013-05-10T04:19:28.941Z,2f9d21b2-9458-4c21-8194-f88381661369
20,23,317348035,101.47558293247411,0.49600637051367763,Lapangan Sepak Bola,2159.07,0,2.43,,,,,False,0,593.8,0.28,1090.22,0.5,0.0,0.0,0.0,1.0,1.0,430.0,1.0,5.0,3.0,1.0,475.04,0.22,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
21,24,317348034,101.47647248564584,0.49768819072284,Lapangan Volly Rw. 4 Tangkerang labuai,1902.12,0,1.43,,,,,False,0,0.0,0.0,390.12,0.21,357.8,0.19,0.0,1.0,1.0,1000.0,1.0,5.0,2.0,1.0,1154.2,0.61,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
22,25,556156030,101.44541851733146,0.5155088603973762,Taman Puswil Pekanbaru,1889.82,1,1.38,,,,,False,0,325.7,0.17,418.92,0.22,184.39,0.1,0.0,1.0,1.0,870.0,1.0,5.0,2.0,1.0,960.82,0.51,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
23,26,546088025,101.41651611495712,0.4495257592489905,hutann,1852.34,1,1.34,,,,,False,0,234.67,0.13,112.08,0.06,0.0,0.0,0.0,1.0,1.0,1400.0000000000002,1.0,5.0,2.0,1.0,1505.59,0.81,0.0,0.0,2017-12-17T04:18:41.479Z,c3caafde-e140-4dcb-af09-a0657931d103
24,28,546087963,101.41718648829266,0.44994432562339653,hutan,1327.49,1,0.81,,,,,False,0,1089.9,0.82,2.35,0.0,0.0,0.0,0.0,1.0,1.0,210.0,1.0,1.0,2.0,1.0,235.25,0.18,0.0,0.0,2017-02-08T03:53:32.350Z,8e27c1ab-1dff-46b3-8412-e1cca82afbcb
25,31,608045932,101.4421127187503,0.5093833362067557,taman hutan,810.39,0,1.91,,,,,False,0,0.0,0.0,311.62,0.38,0.0,0.0,0.0,1.0,1.0,450.0,1.0,5.0,2.0,1.0,498.77,0.62,0.0,0.0,2013-05-10T04:19:28.940Z,2f9d21b2-9458-4c21-8194-f88381661369
26,32,536677846,101.41854106146104,0.519506425860929,NA,635.69,0,1.5,,,,,False,0,154.95,0.24,245.94,0.39,3.18,0.01,0.0,1.0,1.0,210.0,1.0,5.0,2.0,1.0,231.62,0.36,0.0,0.0,2013-05-10T04:19:28.940Z,2f9d21b2-9458-4c21-8194-f88381661369
