,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,472329942,95.34418164926448,5.885255261856538,NA,31949.07,1,2.22,,,,,False,0,15777.92,0.49,12478.52,0.39,2662.73,0.08,0.0,1.0,1.0,930.0,1.0,1.0,3.0,1.0,1029.89,0.03,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
1,1,630294492,95.31065888310174,5.890590774427796,NA,17797.63,0,1.06,,0.8794402434523841,42.37086020838701,19.84914824418854,1011.8339306882368,4.12,0.0,0.0,7342.07,0.41,6484.58,0.36,4.116117850953207,1.0,1.0,3600.0,1.0,5.0,2.0,5.0,3970.98,0.22,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
2,2,630294495,95.32036915927925,5.892103028867781,NA,15714.18,0,1.54,,,,,False,0,1845.45,0.12,4760.3,0.3,237.64,0.02,0.0,1.0,1.0,8000.0,1.0,5.0,2.0,1.0,8870.79,0.56,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
3,3,630294491,95.32716306029451,5.900286670095068,NA,13627.77,0,2.17,,,,,False,0,2430.48,0.18,3378.14,0.25,624.34,0.05,0.0,1.0,1.0,6500.0,1.0,5.0,3.0,1.0,7194.81,0.53,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
4,4,630294494,95.32484603171515,5.8916207029836585,NA,12927.82,0,2.06,,,,,False,0,1879.6,0.15,7096.61,0.55,810.3,0.06,0.0,1.0,1.0,2800.0000000000005,1.0,5.0,3.0,1.0,3141.3,0.24,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
5,5,508064561,95.31122876170112,5.893564362300232,NA,9770.65,1,1.05,,,,,False,0,2095.78,0.21,2146.36,0.22,928.65,0.1,0.0,1.0,1.0,4100.0,1.0,5.0,2.0,1.0,4599.87,0.47,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
6,6,630294490,95.31964051714344,5.893908293981847,NA,5698.93,1,1.6,,,,,False,0,845.79,0.15,2138.48,0.38,986.14,0.17,0.0,1.0,1.0,1600.0,1.0,5.0,2.0,1.0,1728.51,0.3,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
7,7,427216528,95.31839889689212,5.892651326150413,Taman Ria,3727.83,0,1.62,,,,,False,0,0.0,0.0,692.57,0.19,785.92,0.21,0.0,1.0,1.0,2000.0,1.0,5.0,2.0,1.0,2249.34,0.6,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
8,8,630294493,95.318053472255,5.897680271676319,Love Beach Park,3372.73,0,1.54,,,,,False,0,260.84,0.08,1151.37,0.34,253.53,0.08,0.0,1.0,1.0,1500.0,1.0,5.0,2.0,1.0,1707.0,0.51,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
9,9,508049661,95.32268382028096,5.891814542928971,NA,1374.48,1,1.56,,,,,False,0,375.62,0.27,355.37,0.26,53.76,0.04,0.0,1.0,1.0,530.0,1.0,5.0,2.0,1.0,589.73,0.43,0.0,0.0,2017-06-12T04:13:01.756Z,11d795c2-25a4-470c-ac9a-2968d84da345
