,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,573517271,110.3857558252,-7.1043041163,Taman Maerokoco,13349.83,0,1.46,,,,,0,0,0,0,8406.47,0.63,2937.69,0.22,0,1,1,1800,1,5,2,1,2005.66,0.15,0,0,2018-09-27T03:16:59.220Z,9db78d29-a02f-44e9-ac21-1f6efad642ba
1,1,23791653,110.4229434984,-6.9903678319,Lapangan Simpang Lima,27356.06,3,1.01,,,,,0,0,9273.88,0.34,9034.24,0.33,3488.4,0.13,0,1,1,5000,1,4,2,1,5559.53,0.2,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
2,2,588312791,110.3053896153,-7.0694727498,NA,19802.57,0,1.06,,0.6432574952,9.4832073953,3.9580747555,1381.2710117615,50.66,5868.19,0.3,2363.87,0.12,107.83,0.01,50.6645910669,3,1,4200,1,1,2,5,4624.05,0.23,6838.62,0.35,2018-07-13T03:10:56.529Z,e9e4b5c6-8e0b-4119-bd1d-ee9046f6d1c0
3,3,112669203,110.4199804812,-6.9924710785,Taman KB,11641.31,4,1.46,,,,,0,0,0,0,1337.31,0.11,3734.45,0.32,0,1,1,5900,1,5,2,1,6569.55,0.56,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
4,4,559621748,110.2860771135,-6.9690578707,Taman Lalu Lintas Semarang,11558.36,0,1.25,,,,,0,0,0,0,1719.56,0.15,6362.88,0.55,0,1,1,3100,1,1,2,1,3475.92,0.3,0,0,2017-08-02T02:55:49.464Z,e73db86c-d450-45fc-b030-ad29642d8a09
5,5,560927699,110.42540985,-7.0126546078,NA,11108.23,0,1.25,,,,,0,0,0,0,1043.07,0.09,3568.59,0.32,0,1,1,5900,1,5,2,1,6496.57,0.58,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
6,6,570905403,110.4159407062,-7.0875688756,Taman Bumi Rejo,9099.83,0,1.97,,,,,0,0,4093.41,0.45,3577.94,0.39,3.37,0,0,1,1,1300,1,4,2,1,1425.11,0.16,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
7,7,335059228,110.4415037387,-6.9894945739,Taman Citra Satwa,8881.78,0,2.22,,,,,0,0,1894.38,0.21,5766.96,0.65,264.88,0.03,0,1,1,860,1,5,3,1,955.57,0.11,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
8,8,565647520,110.4270820494,-7.0642311055,Taman Tirto Agung,7855.28,1,1.71,,,,,0,0,4226.03,0.54,2137.3,0.27,815.37,0.1,0,1,1,610,1,1,2,1,676.58,0.09,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
9,9,510334335,110.3972218012,-6.9755673903,Hutan Kota Krobokan,7804.89,1,1.02,,,,,0,0,0,0,669.17,0.09,925.9,0.12,0,1,1,5600,1,5,2,1,6209.82,0.8,0,0,2017-08-10T03:14:55.405Z,1c605b19-f143-4640-bfd6-7aaf03af2f33
10,10,581862407,110.3088462716,-7.0775144624,Taman Mijen,7601.49,0,1.4,,,,,0,0,3527.06,0.46,3029.07,0.4,189.32,0.02,0,1,1,770,1,4,2,1,856.04,0.11,0,0,2018-07-13T03:10:56.529Z,e9e4b5c6-8e0b-4119-bd1d-ee9046f6d1c0
11,11,585619226,110.4773981181,-6.9832480782,Taman Bangetayu,7179.25,0,1.51,,,,,0,0,4486.2,0.62,2050.74,0.29,0,0,0,1,1,580,1,1,2,1,642.32,0.09,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
12,12,583464085,110.4405357315,-7.0490709626,Taman Rumah Kita,6965.1,0,2.05,,,,,0,0,0,0,2403.88,0.35,2910.69,0.42,0,1,1,1500,1,5,3,1,1650.53,0.24,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
13,13,112660784,110.4421627214,-7.0052410918,Taman Kedondong,6653.32,0,2.06,,,,,0,0,0,0,6295.43,0.95,190.87,0.03,0,1,1,150,1,5,3,1,167.01,0.03,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
14,14,577977128,110.4458510888,-7.0530917648,Taman Waduk Diponegoro,6380.86,0,0.88,,,,,0,0,0,0,382.78,0.06,5198.34,0.81,0,1,1,720,1,1,2,1,799.74,0.13,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
15,15,313693577,110.4385090064,-7.049579593,Taman Widya Puraya,5682.09,0,1.57,,,,,0,0,0,0,4017.06,0.71,1377.37,0.24,0,1,1,260,1,5,2,1,287.66,0.05,0,0,2013-08-01T03:23:04.733Z,f7f82dd4-5bb6-4348-ae05-f779e9f17b7c
16,16,486744163,110.4006530107,-6.9809415036,Taman Madukoro,5480.61,1,1,,,,,0,0,1457.01,0.27,948.18,0.17,1293.38,0.24,0,1,1,1600,1,1,2,1,1782.04,0.33,0,0,2017-08-10T03:14:55.405Z,1c605b19-f143-4640-bfd6-7aaf03af2f33
0,3,583920464,110.3857536106,-7.1043049534,Taman Amongrogo,13285.96,0,2.27,,,,,0,0,878.49,0.07,10458,0.79,9.87,0,0,1,1,1700,1,5,3,1,1939.59,0.15,0,0,2017-06-30T03:12:58.105Z,9186ed9b-7749-408b-ab60-2bc4cd477de2
