,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,329885281,110.81272947614436,-7.568707414209442,Taman Sriwedari,108798.9,13,1.11,,,,,False,0,0.0,0.0,17698.27,0.16,60213.32,0.55,0.0,1.0,1.0,28000.000000000004,1.0,1.0,2.0,1.0,30887.31,0.28,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
1,1,157057200,110.80810080994503,-7.552310993318997,Taman Balekambang,85232.32,6,1.44,,0.7274286369459005,23.181916418607177,6.57695974079743,2130.6810091064203,60.6,8484.35,0.1,24954.58,0.29,5267.36,0.06,60.60296846011132,4.0,1.0,38000.0,1.0,5.0,2.0,5.0,41704.09,0.49,4821.94,0.06,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
2,2,332095140,110.77176266765223,-7.546372671133015,EduParkUMS,49428.27,0,1.77,,,,,False,0,8140.08,0.16,4544.34,0.09,4.05,0.0,0.0,1.0,1.0,33000.0,1.0,5.0,2.0,1.0,36739.8,0.74,0.0,0.0,2017-05-15T03:11:40.216Z,9a8115e3-44ec-469d-a25a-7c1bb0acb1ac
3,4,256692375,110.8264518264418,-7.582106275165926,Alun-Alun Selatan Surakarta,28697.98,3,1.58,,,,,False,0,4567.67,0.16,20882.81,0.73,2315.61,0.08,0.0,1.0,1.0,840.0,1.0,5.0,2.0,1.0,931.89,0.03,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
4,5,329476963,110.8264424283731,-7.5604019831658835,NA,26389.55,3,1.79,,,,,False,0,2023.14,0.08,6793.49,0.26,1913.11,0.07,0.0,1.0,1.0,14000.000000000002,1.0,5.0,2.0,1.0,15659.81,0.59,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
5,6,390015734,110.82186683636633,-7.567014059900207,alun alun kraton mangkunegaran,17427.94,1,2.03,,,,,False,0,3175.55,0.18,12566.16,0.72,207.65,0.01,0.0,1.0,1.0,1300.0,1.0,5.0,3.0,1.0,1478.58,0.08,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
6,7,325238690,110.81038391319791,-7.5824153830466585,Lap. Pringgolayan,7716.92,1,1.63,,,,,False,0,1555.16,0.2,3612.54,0.47,72.74,0.01,0.0,1.0,1.0,2200.0,1.0,5.0,2.0,1.0,2476.48,0.32,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
7,8,570449747,110.82054168895242,-7.55151662932445,taman,4568.78,0,0.78,,0.8724500098622141,28.03268340946684,7.897210579129966,1555.7260104902464,69.36,0.0,0.0,998.37,0.22,503.05,0.11,69.36045515955321,4.0,1.0,2500.0,1.0,5.0,2.0,5.0,2750.33,0.6,317.03,0.07,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
8,9,534667779,110.85817613382514,-7.542936877175925,NA,3175.08,0,1.86,,,,,False,0,631.27,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2300.0,1.0,5.0,2.0,1.0,2543.81,0.8,0.0,0.0,2018-05-14T03:16:14.276Z,97769390-65d9-42ab-83e5-072a5ad60f4e
9,10,325413012,110.79613921219867,-7.556578817292587,NA,2344.66,0,1.46,,0.6335933885299865,13.353463116008399,3.951905851457138,137.17892741991142,89.97,0.0,0.0,60.55,0.03,0.0,0.0,89.97493734335839,5.0,1.0,1900.0,1.0,5.0,2.0,2.0,2152.92,0.92,131.19,0.06,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
10,11,449068724,110.8219041458829,-7.529849290232111,Lahan milik individu,1977.47,1,2.12,,,,,False,0,674.44,0.34,814.83,0.41,0.0,0.0,0.0,1.0,1.0,440.0,1.0,5.0,3.0,1.0,488.2,0.25,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
11,12,405070508,110.8262450708887,-7.565570856819337,NA,1142.43,3,0.76,,,,,False,0,0.0,0.0,0.0,0.0,931.01,0.81,0.0,1.0,1.0,190.0,1.0,1.0,2.0,1.0,211.41,0.19,0.0,0.0,2017-05-07T03:06:54.599Z,cb374b9b-71b8-4b1d-97bd-202bd34b9720
