,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,2,556936256,106.729009534244,-6.285225095765321,Taman Bintaro Jaya Xchange,48449.94,0,1.3,,,,,False,0,19265.31,0.4,23504.15,0.49,1486.22,0.03,0.0,1.0,1.0,3800.0,1.0,5.0,2.0,1.0,4194.27,0.09,0.0,0.0,2014-06-20T03:25:16.853Z,41ec6dac-c76d-4712-a42f-ba893c4e1878
1,3,369457388,106.67610086329113,-6.288275810257616,Taman Kota,24565.66,1,0.75,,,,,False,0,436.11,0.02,4334.34,0.18,0.0,0.0,0.0,1.0,1.0,18000.0,1.0,5.0,2.0,1.0,19795.21,0.81,0.0,0.0,2017-06-13T03:39:15.425Z,84d34398-1aa4-440a-aa50-ad9447d8292d
2,5,319224367,106.72540513956493,-6.273159898033983,Menteng Park,16976.52,0,1.67,,0.7874455039383378,18.909472018848422,4.183090380045394,988.9173430209252,44.75,1048.26,0.06,7384.67,0.43,2516.38,0.15,44.75288645236315,3.0,1.0,2500.0,1.0,5.0,2.0,3.0,2731.42,0.16,3295.79,0.19,2010-02-15T03:20:55.541Z,027e3126-7584-4e46-b9fd-7e0a6c7487db
3,6,398181510,106.66812610917171,-6.298708682441567,Taman Kesehatan,11348.18,1,0.76,,,,,False,0,0.0,0.0,2933.45,0.26,71.79,0.01,0.0,1.0,1.0,7500.0,1.0,5.0,2.0,1.0,8342.94,0.74,0.0,0.0,2017-06-13T03:39:15.425Z,84d34398-1aa4-440a-aa50-ad9447d8292d
4,8,48213147,106.69227791748457,-6.325871754629798,NA,10522.15,0,0.73,,,,,False,0,691.38,0.07,3724.39,0.35,0.0,0.0,0.0,1.0,1.0,5500.0,1.0,5.0,2.0,1.0,6106.38,0.58,0.0,0.0,2017-06-13T03:39:15.425Z,84d34398-1aa4-440a-aa50-ad9447d8292d
5,11,319223238,106.71117064624931,-6.269132250273913,Kebayoran Park,6212.15,3,1.46,,0.810205769812495,44.29763257591077,21.02042972623234,759.4605609863945,93.69,0.0,0.0,1096.78,0.18,0.0,0.0,93.69369369369369,5.0,1.0,4000.0,1.0,5.0,2.0,5.0,4467.06,0.72,648.3,0.1,2016-07-21T03:10:09.888Z,58674529-4017-4271-ba5b-9c82ba6b965c
6,14,301752434,106.73452436774764,-6.339814352097227,NA,5008.03,0,0.67,,,,,False,0,1607.63,0.32,1061.21,0.21,0.0,0.0,0.0,1.0,1.0,2100.0,1.0,5.0,2.0,1.0,2339.19,0.47,0.0,0.0,2017-06-13T03:39:15.425Z,84d34398-1aa4-440a-aa50-ad9447d8292d
7,15,546637656,106.73267415502202,-6.341295298745886,Taman Pamulang,4962.17,1,1.68,,,,,False,0,0.0,0.0,1841.02,0.37,1039.67,0.21,0.0,1.0,1.0,1900.0,1.0,5.0,2.0,1.0,2081.48,0.42,0.0,0.0,2010-02-15T03:20:55.541Z,027e3126-7584-4e46-b9fd-7e0a6c7487db
8,16,478686005,106.67569983254197,-6.339910206808416,Pool Blue Star,4778.45,0,0.73,,,,,False,0,0.0,0.0,0.0,0.0,3493.7,0.73,0.0,1.0,1.0,1200.0,1.0,1.0,2.0,1.0,1284.75,0.27,0.0,0.0,2010-02-15T03:20:55.541Z,027e3126-7584-4e46-b9fd-7e0a6c7487db
9,17,174094866,106.74942446943112,-6.34748563052718,NA,4158.51,3,1.9,,,,,False,0,0.0,0.0,379.84,0.09,626.49,0.15,0.0,1.0,1.0,2800.0000000000005,1.0,5.0,2.0,1.0,3152.18,0.76,0.0,0.0,2014-02-20T03:49:21.171Z,e87819e3-f128-4140-8390-52baafe22508
